Policy,Govern,Identify,Protect,Detect,Respond,Recover,Flagged,IsPolicy
09880433-9572-4fdf-a9d3-8cd4a11e32b6.pdf,0,0,0,0,0,1,0,0
1625df13-6b8e-4692-b06f-aab290812197.pdf,0,0,0,0,2,1,0,0
1ef3c6b9-1d3f-4ddf-ba57-73d602ebf5f3.pdf,0,0,0,1,0,1,0,0
2019 Business Plan-compressed.pdf,0,0,0,6,0,1,1,0
2023-03-13-Agenda-and-Documents-compressed.pdf,0,0,0,0,0,1,0,0
2023-04-10-Agenda-and-Documents-compressed.pdf,0,0,0,0,0,0,0,0
2023-11-20-Agenda-and-Documnts-1-compressed.pdf,0,0,0,0,0,0,0,0
2023-12-13-Agenda-and-Documents-compressed.pdf,0,0,0,0,0,0,0,0
2cdfbc5a-64bb-4c70-9925-db7e4f63019f.pdf,0,0,0,1,1,0,0,0
35a86486-3ed0-4e94-8a93-72644e187279.pdf,0,0,0,0,0,0,0,0
4cc680a2-3dd5-4020-aaef-346559eaffee.pdf,0,2,0,2,0,0,0,0
56a4821c-1064-4144-940c-170ff3cd1612.pdf,0,0,0,1,0,0,0,0
87bb47f3-ff2c-4353-a25e-d2c103b62a0c.pdf,0,0,0,0,0,0,0,0
9189cf3d-fec6-4172-8f5b-f2ab92b1f113.pdf,3,0,0,0,0,0,0,0
97c51d56-6691-4349-a926-3873852e2c51.pdf,0,0,1,0,0,0,0,0
9ae7b499-22a0-4535-9e7d-3bb899f8c5a0.pdf,0,0,0,0,0,2,0,0
9cbf23f9-4e46-4900-a169-222b1c1ec17f.pdf,0,0,0,0,0,0,0,0
Business Plan 2019 (1)-compressed.pdf,0,0,1,4,1,2,0,0
Business Plan 2020 12_09-compressed.pdf,0,0,0,7,0,2,1,0
Connecticut-Avenue-TLC-report-FINAL-Package-compressed.pdf,0,0,0,0,0,1,0,0
MCE Business Report FY18 Combined-compressed.pdf,0,0,0,2,0,2,0,0
MCE FY2016-FY2018 Business Plan-compressed.pdf,0,0,0,9,0,2,1,0
MCE Management Council Meeting Minutes FY23-compressed.pdf,0,0,0,0,0,0,0,0
MCE Management Council Meeting Minutes FY24-compressed.pdf,0,0,0,0,0,0,0,0
MCE Management Council Meeting Minutes FY25-compressed.pdf,0,0,0,0,0,6,1,0
MD_CybersecurityCouncil_Report_2025.pdf,7,1,3,1,2,0,1,0
MD_DHMH_IT_SecurityPolicy.pdf,21,0,135,23,1,14,1,1
MD_DOIT_ContinuousMonitoring_Policy.pdf,2,0,4,37,1,0,1,1
MD_DOIT_CyberRiskMgmt_Policy.pdf,33,7,2,4,0,0,1,1
MD_DOIT_SystemNetworkSecurity_Policy.pdf,2,1,0,0,0,0,0,1
MD_IT_SecurityManual.pdf,33,35,139,79,69,36,1,1
MD_Judicial_InfoSecurity_Policy.pdf,10,2,29,6,0,17,1,1
MD_MSDE_AUP_2024.pdf,0,0,6,9,0,1,1,1
MD_Procurement_Manual.pdf,0,0,0,4,0,2,0,0
MD_UMGC_LocalGov_Cybersecurity_2021.pdf,101,18,17,13,10,15,1,0
Resolution-R-11-2023-ULI-TAP-compressed.pdf,0,0,0,0,0,0,0,0
September-Journal-2021-a-web-compressed.pdf,0,0,0,0,0,0,0,0
Town-of-Kensington-2022-Financial-Statements-compressed.pdf,2,0,0,0,0,0,0,0
Town-of-Kensington-FS-compressed.pdf,1,1,0,0,0,0,0,0
Town-of-Kensington-TAP-Report-compressed.pdf,0,0,0,0,0,0,0,0
af348882-aa0c-4882-a61c-1074246ecd14.pdf,0,0,0,0,0,0,0,0
annualreport2024-compressed.pdf,7,0,0,0,0,0,1,0
b0c0eb31-4fcb-4a22-92fd-ea5822647891.pdf,0,0,0,0,0,0,0,0
b6821233-35a3-4a8e-92f7-809f28d35a61.pdf,3,0,0,0,0,0,0,0
c68baa0c-8afd-4088-9462-e3cda376a615.pdf,0,0,0,0,0,0,0,0
ctecomm-ert-report-cecil-county24-25final-compressed.pdf,0,0,0,0,0,0,0,0
empguide-compressed.pdf,0,0,0,0,0,0,0,0
f5ca30b5-b88e-4a55-bb56-690c0181674d.pdf,0,0,0,0,0,3,0,0
mdpy2023wiaannrep-compressed.pdf,1,0,0,4,1,2,0,0
mpi3-25-compressed.pdf,0,0,2,9,0,16,1,0
mpi4-13-compressed.pdf,0,0,0,1,0,0,0,0
